"Report Title","Publishers Name","Publishers Location","Industry","Geography","Price in USD","URL","Publish Date","Number of pages"
"Working in Organisations","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/leadership/working_organisations.html","Published on 01-Jul-2004",270
"Becoming the Best","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/business_skills/becoming_best.html","Published on 01-May-2008",
"Do We Have A Deal?","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/business_skills/deal.html","Published on 01-May-2008",
"Appraisal Skills","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/business_skills/appraisal_skills.html","Published on 01-May-2008",
"No Going Back","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/business_skills/no_going_back.html","Published on 01-May-2008",
"The Floor is Yours, Now","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/business_skills/floor_yours.html","Published on 01-May-2008",
"360&deg; Feedback","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/hr/360_deg_feedback.html","Published on 01-Jun-2005",
"Balancing Work and Private Life","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/employee_relations/balancing_work_private_life.html","Published on 01-Jun-2005",
"Business Etiquette","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/international_business/business_culture/business_etiquette.html","Published on 01-Jun-2005",
"Career Planning","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/career_development/career_planning.html","Published on 01-Jun-2005",
"Coaching","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/training/coaching.html","Published on 01-Jun-2005",
"Conflict Within Teams","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/hr/conflict_within_teams.html","Published on 01-Jun-2005",
"Coping with Change","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/business_skills/coping_change.html","Published on 01-Jun-2005",
"Counselling Poor Performers","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/employee_relations/counselling_poor_performers.html","Published on 01-Jun-2005",
"Dealing with Difficult People","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/employee_relations/dealing_difficult_people.html","Published on 01-Jun-2005",
"Delegating and Prioritising","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/leadership/delegating_prioritising.html","Published on 01-Jun-2005",
"Designing and Delivering a Training Session","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/training/designing_delivering_training_session.html","Published on 01-Jun-2005",
"Developing a Training Plan","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/training/developing_training_plan.html","Published on 01-Jun-2005",
"Energy and Enthusiasm","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/career_development/energy_enthusiasm.html","Published on 01-Jun-2005",
"Facilitation Skills","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/business_skills/facilitation_skills.html","Published on 01-Jun-2005",
"Giving Personal Feedback","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/leadership/giving_personal_feedback.html","Published on 01-Jun-2005",
"Going for a Job Interview","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/business_skills/going_job_interview.html","Published on 01-Jun-2005",
"Handling Complaints","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/hr/handling_complaints.html","Published on 01-Jun-2005",
"Leadership","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/leadership/leadership.html","Published on 01-Jun-2005",
"Learning to Learn","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/training/learning_learn.html","Published on 01-Jun-2005",
"Listening","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/business_skills/listening.html","Published on 01-Jun-2005",
"Managing Performance","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/managing_performance.html","Published on 01-Jun-2005",
"Mentoring","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/leadership/mentoring.html","Published on 01-Jun-2005",
"The New Supervisor","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/leadership/new_supervisor.html","Published on 01-Jun-2005",
"Positive Thinking","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/business_skills/positive_thinking.html","Published on 01-Jun-2005",
"Preparing for Your Appraisal","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/business_skills/preparing_appraisal.html","Published on 01-Jun-2005",
"Problem Solving and Initiative","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/career_development/problem_solving_initiative.html","Published on 01-Jun-2005",
"Public Speaking with Confidence","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/business_skills/public_speaking_confidence.html","Published on 01-Jun-2005",
"Selection Techniques","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/hr/selection_techniques.html","Published on 01-Jun-2005",
"Self Empowerment","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/business_skills/self_empowerment.html","Published on 01-Jun-2005",
"Stress Management","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/business_skills/stress_management.html","Published on 01-Jun-2005",
"Supervisory Styles","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/leadership/supervisory_styles.html","Published on 01-Jun-2005",
"Time Management","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/business_skills/time_management.html","Published on 01-Jun-2005",
"10 Essential Interviewing Skills","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/business_skills/10_essential_interviewing_skills.html","Published on 01-Jun-2005",
"10 Essential Reception Skills","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/business_skills/10_essential_reception_skills.html","Published on 01-Jun-2005",
"10 Essentials for Successful Induction","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/hr/10_essentials_successful_induction.html","Published on 01-Jun-2005",
"10 Point Checklist Before Delivering Training","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/training/10_point_checklist_delivering_training.html","Published on 01-Jun-2005",
"10 Point Checklist for Briefing a Consultant","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/project/10_point_checklist_briefing_consultant.html","Published on 01-Jun-2005",
"5 Steps to High Self-Esteem","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/hr/steps_high_self_esteem.html","Published on 01-Jun-2005",
"6 Ways to Resolve Conflict","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/employee_relations/ways_resolve_conflict.html","Published on 01-Jun-2005",
"7 Steps to Improving Communication","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/marketing_sales/communication_pr/steps_improving_communication.html","Published on 01-Jun-2005",
"Be Careful with e-mail","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/technology/careful_e_mail.html","Published on 01-Jun-2005",
"Common Facilitation Mistakes","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/hr/common_facilitation_mistakes.html","Published on 01-Jun-2005",
"Dealing with Abusive and Threatening Calls","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/business_skills/dealing_abusive_threatening_calls.html","Published on 01-Jun-2005",
"Decision Making in Groups","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/business_skills/decision_making_groups.html","Published on 01-Jun-2005",
"Developing Assertiveness Skills","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/business_skills/developing_assertiveness_skills.html","Published on 01-Jun-2005",
"Difficult Presentations Made Easy","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/business_skills/difficult_presentations_made_easy.html","Published on 01-Jun-2005",
"Eliminating Workplace Bullying","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/hr/eliminating_workplace_bullying.html","Published on 01-Jun-2005",
"Essential Counselling Skills","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/hr/essential_counselling_skills.html","Published on 01-Jun-2005",
"Evaluate Anything!","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/productivity/evaluate_anything.html","Published on 01-Jun-2005",
"Getting the Most Out of Training","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/training/getting_training.html","Published on 01-Jun-2005",
"How to Sell a New Idea","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/small_business_entrepeneurship/sell_new_idea.html","Published on 01-Jun-2005",
"Increasing Motivation at Work","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/leadership/increasing_motivation_work.html","Published on 01-Jun-2005",
"Learning from Mistakes","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/training/learning_mistakes.html","Published on 01-Jun-2005",
"Making Teams Work Brilliantly","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/productivity/making_teams_work_brilliantly.html","Published on 01-Jun-2005",
"Management Mastery Checklist","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/management_mastery_checklist.html","Published on 01-Jun-2005",
"Managing a Mature Age Workforce","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/managing_mature_age_workforce.html","Published on 01-Jun-2005",
"Men and Women Are Different","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/men_women_different.html","Published on 01-Jun-2005",
"Moving into e-Learning","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/training/moving_e_learning.html","Published on 01-Jun-2005",
"Personal Goal Setting","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/e_business/personal_goal_setting.html","Published on 01-Jun-2005",
"Project Management Success Factors","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/project/project_management_success_factors.html","Published on 01-Jun-2005",
"Reducing Absenteeism","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/reducing_absenteeism.html","Published on 01-Jun-2005",
"Sales and Service Turn-Offs","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/marketing_sales/sales/sales_service_turn_offs.html","Published on 01-Jun-2005",
"Successful Thinking Habits","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/business_skills/successful_thinking_habits.html","Published on 01-Jun-2005",
"The Power of Empathy","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/business_skills/power_empathy.html","Published on 01-Jun-2005",
"Understanding Body Language","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/business_skills/understanding_body_language.html","Published on 01-Jun-2005",
"Understanding Group Dynamics","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/leadership/understanding_group_dynamics.html","Published on 01-Jun-2005",
"Controlling Meetings","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/leadership/controlling_meetings.html","Published on 01-Jun-2005",
"Consulting Skills for Professionals","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/training/consulting_skills_professionals.html","Published on 01-Jun-2005",
"Conducting Training Activities","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/training/conducting_training_activities.html","Published on 01-Jun-2005",
"Leading Group Discussions","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/leadership/leading_group_discussions.html","Published on 01-Jun-2005",
"The Changing Role of Managers","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/productivity/changing_role_managers.html","Published on 01-Jun-2005",
"Overcoming Harassment","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/employee_relations/overcoming_harassment.html","Published on 01-Jun-2005",
"Coping with Retrenchment","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/hr/coping_retrenchment.html","Published on 01-Jun-2005",
"Managing Upwards","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/managing_upwards.html","Published on 01-Jun-2005",
"The Spirit of Service","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/marketing_sales/crm/spirit_service.html","Published on 01-Jun-2005",
"The Unmotivated Employee","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/employee_relations/unmotivated_employee.html","Published on 01-Jun-2005",
"Action Learning for Results","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/training/action_learning_results.html","Published on 01-Jun-2005",
"Assessing and Developing Performance","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/hr/assessing_developing_performance.html","Published on 01-Jun-2005",
"Boardroom Effectiveness","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/training/boardroom_effectiveness.html","Published on 01-Jun-2005",
"Building Trust","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/leadership/building_trust.html","Published on 01-Jun-2005",
"Business in Cyberspace","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/e_business/business_cyberspace.html","Published on 01-Jun-2005",
"Career Coaching Skills","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/hr/career_coaching_skills.html","Published on 01-Jun-2005",
"Career Self-Management","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/career_development/career_self_management.html","Published on 01-Jun-2005",
"Continuous Team Development","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/leadership/continuous_team_development.html","Published on 01-Jun-2005",
"Corporate Eating for Health","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/health_safety/corporate_eating_health.html","Published on 01-Jun-2005",
"Cost Reduction Strategies","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/planning_strategy/cost_reduction_strategies.html","Published on 01-Jun-2005",
"Creating and Working with Knowledge","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/knowledge/creating_working_knowledge.html","Published on 01-Jun-2005",
"Creating Powerful Visions","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/leadership/creating_powerful_visions.html","Published on 01-Jun-2005",
"Cross Cultural Communication Skills","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/employee_relations/cross_cultural_communication_skills.html","Published on 01-Jun-2005",
"Developing a Beginner's Mindset","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/small_business_entrepeneurship/developing_beginners_mindset.html","Published on 01-Jun-2005",
"Developing Resilience","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/health_safety/developing_resilience.html","Published on 01-Jun-2005",
"Diversity - Making it Work","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/hr/diversity_making_work.html","Published on 01-Jun-2005",
"Emotional Intelligence","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/training/emotional_intelligence.html","Published on 04-Apr-2009",376
"Future Trends in Business","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/planning_strategy/future_trends_business.html","Published on 01-Jun-2005",
"Getting Fit for Business","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/health_safety/getting_fit_business.html","Published on 01-Jun-2005",
"How to Manage Knowledge Workers","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/knowledge/manage_knowledge_workers.html","Published on 01-Jun-2005",
"Improving Environmental Performance","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/facilities/improving_environmental_performance.html","Published on 01-Jun-2005",
"Improving Team Climate","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/employee_relations/improving_team_climate.html","Published on 01-Jun-2005",
"Influencing Senior Managers","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/leadership/influencing_senior_managers.html","Published on 01-Jun-2005",
"Innovation in the Workplace","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/innovation_workplace.html","Published on 01-Jun-2005",
"Intranets for Business","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/technology/intranets_business.html","Published on 01-Jun-2005",
"Leadership for Quality Service","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/leadership/leadership_quality_service.html","Published on 01-Jun-2005",
"Leadership in a Time of Change","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/leadership/leadership_time_change.html","Published on 01-Jun-2005",
"Learning in the Virtual World","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/training/learning_virtual_world.html","Published on 01-Jun-2005",
"Learning Organizations for the Future","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/training/learning_organizations_future.html","Published on 01-Jun-2005",
"Looking into the Future","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/planning_strategy/looking_future.html","Published on 01-Jun-2005",
"Maintaining Continuous Motivation","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/productivity/maintaining_continuous_motivation.html","Published on 01-Jun-2005",
"Making Teams Work","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/productivity/making_teams_work.html","Published on 01-Jun-2005",
"Managing Call Centre Staff","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/managing_call_centre_staff.html","Published on 01-Jun-2005",
"Managing Career Transitions","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/career_development/managing_career_transitions.html","Published on 01-Jun-2005",
"Managing Contractors","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/managing_contractors.html","Published on 01-Jun-2005",
"Managing Disagreements Constructively","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/managing_disagreements_constructively.html","Published on 01-Jun-2005",
"Managing Generation Xers","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/managing_generation_xers.html","Published on 01-Jun-2005",
"Managing Growth","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/managing_growth.html","Published on 01-Jun-2005",
"Managing Virtual Teams","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/managing_virtual_teams.html","Published on 01-Jun-2005",
"Mentoring for Executives","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/leadership/mentoring_executives.html","Published on 01-Jun-2005",
"Overcoming Stress","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/business_skills/overcoming_stress.html","Published on 01-Jun-2005",
"Planning to Restructure","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/planning_strategy/planning_restructure.html","Published on 01-Jun-2005",
"Professional Business Writing","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/business_skills/professional_business_writing.html","Published on 01-Jun-2005",
"Redefining Mentoring","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/training/redefining_mentoring.html","Published on 01-Jun-2005",
"Rethinking Marketing","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/marketing_sales/marketing/rethinking_marketing.html","Published on 01-Jun-2005",
"Revitalizing After Downsizing","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/employee_relations/revitalizing_downsizing.html","Published on 01-Jun-2005",
"Risk Taking","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/planning_strategy/risk_taking.html","Published on 01-Jun-2005",
"Scenario Planning","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/planning_strategy/scenario_planning.html","Published on 01-Jun-2005",
"Selection Interviewing","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/hr/selection_interviewing.html","Published on 01-Jun-2005",
"Senior Management Development","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/senior_management_development.html","Published on 01-Jun-2005",
"Situational Coaching","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/situational_coaching.html","Published on 01-Jun-2005",
"Strategic Planning for the Longer Term","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/planning_strategy/strategic_planning_longer_term.html","Published on 01-Jun-2005",
"Success Factors for Virtual Teams","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/leadership/success_factors_virtual_teams.html","Published on 01-Jun-2005",
"Sustainable Business","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/planning_strategy/sustainable_business.html","Published on 01-Jun-2005",
"Team Negotiations","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/leadership/team_negotiations.html","Published on 01-Jun-2005",
"The Co-operative Workplace","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/leadership/co_operative_workplace.html","Published on 01-Jun-2005",
"The Future of Work","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/planning_strategy/future_work.html","Published on 01-Jun-2005",
"The Process of Negotiation","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/business_skills/process_negotiation.html","Published on 01-Jun-2005",
"Rollercoaster of Change","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/employee_relations/rollercoaster_change.html","Published on 01-Jun-2005",
"The Science of Selection","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/hr/science_selection.html","Published on 01-Jun-2005",
"Turning Ideas into Reality","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/small_business_entrepeneurship/turning_ideas_reality.html","Published on 01-Jun-2005",
"Understanding Knowledge Work","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/knowledge/understanding_knowledge_work.html","Published on 01-Jun-2005",
"What's New in Empowerment?","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/leadership/whats_new_empowerment.html","Published on 01-Jun-2005",
"The Meaning of Company Accounts","Ashgate Publishing","United Kingdom","Business &amp; Government","All",0,"http://www.reportbuyer.com/business_government/accountancy/meaning_company_accounts.html","Published on 01-May-2005",320
"Legendary Away Days and Games for Legendary Away Days","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/employee_relations/legendary_away_days_games_legendary_away_days.html","Published on 01-Nov-2004",360
"Winning First Impressions","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/business_skills/winning_first_impressions.html","Published on 01-Oct-2006",
"Empowering Yourself","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/career_development/empowering_yourself.html","Published on 01-Oct-2006",
"Being Assertive","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/business_skills/assertive.html","Published on 01-Oct-2006",
"Influencing Others","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/leadership/influencing_others.html","Published on 01-Oct-2006",
"Presenting to a Group","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/business_skills/presenting_group.html","Published on 01-Oct-2006",
"Managing Meetings","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/managing_meetings.html","Published on 01-Oct-2006",
"Team Building","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/leadership/team_building.html","Published on 01-Oct-2006",
"Communicating in a Team","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/management/leadership/communicating_team.html","Published on 01-Oct-2006",
"Explaining Clearly","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/business_skills/explaining_clearly.html","Published on 01-Oct-2006",
"Effective Listening","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/business_skills/effective_listening.html","Published on 01-Oct-2006",
"Communicating Without Words","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/marketing_sales/communication_pr/communicating_without_words.html","Published on 01-Oct-2006",
"Interviewing","Ashgate Publishing","United Kingdom","Business Books","All",0,"http://www.reportbuyer.com/business_books/hr_training_coaching/hr/interviewing.html","Published on 01-Oct-2006",
